Locality	VolumeClass	Comm	Area	TerrUnivStructGroup	ContractNumberofBAT	ContractNumberofJTI	ContractNumberofPMI	ContractNumberofNon	TmrName	LegalName	OutletName	TerrType	PlannedVisits	CompletedVisits	TotalAmount	NumberofCustomer	TotalAnnualVol	MTDSales	SalesMTDsply	YTDSales	SalesYTDsply	MTDSalesDSA	SalesMTDsplyDSA	YTDSalesDSA	SalesYTDsplyDSA	BenefitsMTD	BenefitsMTDSPLY	BenefitsYTD	BenefitsYTDSPLY	SalesEvolutionSPLM	Overdue	DelayDay	BatVolume	PaymentBehavior	Oos	OosCount	CompletedVisitsYTD	EfficientVisitsYTD	CompletedVisitsYTDSPLY	EfficientVisitsYTDSPLY	Invoices	InvoicesSply	VariableFeeYTD	RcfYTD	MeritBasicYTD	OthersYTD	BoosterYTD	TradeMarginYTD	VariableFeeSPLY	RcfSPLY	MeritBasicSPLY	OthersSPLY	BoosterSPLY	TradeMarginSPLY	CompliancyPercent	NonC	Checkno	CompliancyComm	CompliancyPlanogram	CompliancyPromotion	CompliancyVisibility	ContractStartDate	ContractEndDate	ContractType	Position	ContractValue	DayPassed	DayRemaining	ReportDate
BAIA SPRIE	6	Other	A33	GROW	0	1	0	0	DANIEL GAVRILA PODINA	LUCEAFARUL SRL	CENTRAL	P	1	1	5286.30	1	515	24.96	13.46	231.94	109.30	1.56	0.90	1.02	0.48	645.24	609.40	5928.08	4886.33	0.64			307	-1.00	8	32	46	45	32	23	45	27						5928.08	0.00	0.00	0.00	0.00	0.00	4886.33								01/06/2015	31/05/2018	UNKNOWN	2nd Postion	12000	541	554	22/11/2016
BAIA SPRIE	6	Other	A33	GROW	0	1	0	0	DANIEL GAVRILA PODINA	LUCEAFARUL SRL	DORA	P	1	1	3288.84	1	717	20.52	11.78	368.60	144.72	1.28	0.79	1.62	0.64	515.83	1079.74	10124.36	6864.79	-0.17			329	-1.00	8	32	51	51	33	24	53	31	0.00	0.00	0.00	0.00	1022.20	9102.16	0.00	0.00	0.00	0.00	556.12	6308.67								01/06/2015	31/05/2018	Fee Fix	2nd Postion	12000	541	554	22/11/2016
BAIA SPRIE	6	Other	A33	GROW	0	1	0	0	DANIEL GAVRILA PODINA	LUCEAFARUL SRL	MICRO	P	1	1	4781.16	1	740	26.14	16.48	304.42	127.72	1.63	1.10	1.34	0.56	666.02	750.26	7801.14	5689.63	0.47	0.02	211	335	-1.00	1	32	50	50	34	25	50	29						7801.14	0.00	0.00	0.00	0.00	0.00	5689.63								01/06/2015	31/05/2018	Fee Fix	2nd Postion	12000	541	554	22/11/2016
BAIA SPRIE	7	Other	A33	PROTECT	0	1	0	0	DANIEL GAVRILA PODINA	LUCEAFARUL SRL	FAGET	P	1	1	3525.10	1	391	15.24	10.90	174.00	87.62	0.95	0.73	0.76	0.39	374.58	480.12	5339.78	3855.52	0.72	0.09	15	187	-1.00	0	32	48	48	33	24	48	28	0.00	0.00	0.00	0.00	977.28	4362.50	0.00	0.00	0.00	0.00	0.00	3855.52								01/06/2015	31/05/2018	Fee Fix	2nd Postion	12000	541	554	22/11/2016
BAIA SPRIE	7	Other	A33	PROTECT	0	1	0	0	DANIEL GAVRILA PODINA	LUCEAFARUL SRL	SPRIA	P	1	1	3783.31	1	427	18.68	10.72	195.30	89.16	1.17	0.71	0.86	0.39	475.73	496.47	5018.63	4024.18	0.67			213	-1.00	0	32	47	47	32	22	47	25						5018.63	0.00	0.00	0.00	0.00	0.00	4024.18								01/06/2015	31/05/2018	Fee Fix	2nd Postion	12000	541	554	22/11/2016
BEIUS	6	Bat	A45	MUST WIN	1	0	0	0	DANIEL GAVRILA PODINA	UNICARM SRL	UNICARM BEIUS CALEA BIHORULUI G52	E			13798.75	1	715	24.20	26.28	342.30	361.82	1.51	1.75	1.50	1.59	805.41	1227.04	8827.83	16270.55	0.02	1648.77	2	454	-0.03	0	48	88	79	90	79	80	82						8827.83						16270.55															22/11/2016
BISTRITA	6	Bat	A32	MUST WIN	1	0	0	0	DANIEL GAVRILA PODINA	UNICARM SRL	UNICARM BISTRITA CALEA MOLDOVEI G20	E			6207.29	1	679	10.00	15.00	209.66	232.40	0.63	1.00	0.92	1.02	297.33	680.75	5384.42	10462.81	-0.04	759.08	2	333	-0.03	0	48	92	81	97	82	86	85						5384.42						10462.81															22/11/2016
BORSA-MARAMURES	4	Bat	A33	MUST WIN	1	0	0	0	DANIEL GAVRILA PODINA	TIG SRL	TIG 1 NON STOP	P	2	1	45574.41	1	2024	180.00	248.00	4014.80	3675.60	11.25	16.53	17.61	16.19	5411.34	11299.30	107616.89	167654.42	0.58			1144	-1.00	0	48	95	92	104	88	90	94	0.00	0.00	0.00	0.00	5493.50	102123.39	0.00	0.00	0.00	0.00	4302.80	163351.62	100	0	4	0	0	0	0	01/09/2015	31/08/2019	Fee Fix	1st Position	14000	449	1011	22/11/2016
BORSA-MARAMURES	5	Bat	A33	MUST WIN	1	0	0	0	DANIEL GAVRILA PODINA	GRAB-TEL SRL	GRAB-TEL 1 NON STOP	P	2	1	66116.38	1	1442	167.00	160.30	2613.92	2332.64	10.44	10.69	11.46	10.28	4961.17	8365.11	68894.87	107331.54	0.20	20936.95	2	863	-1.63	0	48	93	92	98	98	102	185	0.00	0.00	0.00	0.00	2461.68	66433.19	0.00	0.00	0.00	0.00	3893.35	103438.19	100	0	3	0	0	0	0	01/07/2016	30/06/2019	Fee Fix	1st Position	14000	145	949	22/11/2016
BORSA-MARAMURES	5	Bat	A33	MUST WIN	1	0	0	0	DANIEL GAVRILA PODINA	UNICARM SRL	UNICARM BORSA VICTORIEI G17	P	1	1	13148.06	1	1287	20.20	28.20	519.08	630.84	1.26	1.88	2.28	2.78	823.24	1268.74	13303.85	28296.69	-0.11	6084.60	2	936	-0.03	0	48	90	60	89	73	63	75						13303.85						28296.69															22/11/2016
BORSA-MARAMURES	6	Bat	A33	GROW	1	0	0	0	DANIEL GAVRILA PODINA	GRAB-TEL SRL	GRAB-TEL PARMEN	P	2	1		1	750																426		0	24	26	0																	100	0	3	0	0	0	0	01/07/2016	30/06/2019	Fee Fix	1st Position	14000	145	949	22/11/2016
BORSA-MARAMURES	6	Bat	A33	GROW	1	0	0	0	DANIEL GAVRILA PODINA	LIBRARIA NORD SRL	ABC BORSA	P	2	1	4177.47	1	668	17.02	26.08	342.92	400.74	1.06	1.74	1.50	1.77	539.99	1429.17	9651.50	20134.35	0.09			421	0.84	0	48	94	92	91	90	97	90	0.00	0.00	0.00	0.00	651.96	8999.54	0.00	0.00	0.00	0.00	1974.20	18160.15	100	0	4	0	0	0	0	01/09/2014	31/08/2018	Fee Fix	1st Position	3200	814	646	22/11/2016
BORSA-MARAMURES	6	Bat	A33	GROW	1	0	0	0	DANIEL GAVRILA PODINA	SPILT ION COM SRL	ROMPETROL	P	2	1	4967.91	1	608	18.10	20.14	348.72	312.80	1.13	1.34	1.53	1.38	775.89	966.64	9472.81	14814.64	0.00			468	0.00	0	24	51	51	44	44	49	44	0.00	0.00	0.00	0.00	347.66	9125.15	0.00	0.00	0.00	0.00	566.68	14247.96															22/11/2016
BORSA-MARAMURES	6	Bat	A33	GROW	1	0	0	0	DANIEL GAVRILA PODINA	TIG SRL	MAG POIANA	P	1	1		1	635																424		0	16	12	0																	100	0	2	0	0	0	0	01/09/2015	31/08/2019	Fee Fix	1st Position	14000	449	1011	22/11/2016
BORSA-MARAMURES	6	Bat	A33	IKA	0	0	0	0	DANIEL GAVRILA PODINA	OMV PETROM MARKETING SRL	OMV BORSA VICTORIEI 1310701 R637	P	2	1	0.00	1	600	26.20	28.30	493.46	436.90	1.64	1.89	2.16	1.92								336	-1.04	0	24	47	47	44	43	47	45													100	0	1	0	0	0	0								22/11/2016
BORSA-MARAMURES	6	Other	A33	IKA	0	0	0	0	DANIEL GAVRILA PODINA	REWE ROMANIA SRL	PENNY BORSA LIBERTATII	P	1	0	0.00	1	871																366																																				22/11/2016
BORSA-MARAMURES	7	Bat	A33	PROTECT	1	0	0	0	DANIEL GAVRILA PODINA	GRAB-TEL SRL	NON STOP BAIA BORSA GRAB-TEL	P	1	0		1	497																322																						100	0	2	0	0	0	0	01/07/2015	30/06/2019	Fee Fix	1st Position	14000	511	949	22/11/2016
BORSA-MARAMURES	7	Bat	A33	PROTECT	1	0	0	0	DANIEL GAVRILA PODINA	SEVELIN SRL	SEVELIN	P	1	0	3166.58	1	473	12.14	12.50	230.84	250.04	0.76	0.83	1.01	1.10	579.05	669.17	6273.30	11391.75	-0.18			366	0.71	2	24	45	39	44	43	39	47	0.00	0.00	0.00	0.00	515.47	5757.83	0.00	0.00	0.00	0.00	421.87	10969.88															22/11/2016
BORSA-MARAMURES	7	Bat	A33	PROTECT	1	0	0	0	DANIEL GAVRILA PODINA	TIG SRL	MINIMARKET	P	1	0		1	369																199																						100	0	3	0	0	0	0	01/09/2015	31/08/2019	Fee Fix	1st Position	14000	449	1011	22/11/2016
BORSA-MARAMURES	7	Bat	A33	IKA	0	0	0	0	DANIEL GAVRILA PODINA	PROFI ROM FOOD SRL	PROFI 2223 BORSA DECEBAL	P	1	0	0.00	1	224	16.84	19.58	319.10	184.52	1.05	1.31	1.40	0.81								134	2.10	0	24	67	46	58	34	62	39																											22/11/2016
BRADU	7	Other	A37	MUST WIN	0	0	1	0	DANIEL GAVRILA PODINA	OCTAGON GROUP SRL	OCTAGON METRO PITESTI	E			4173.07	1	309	9.70	10.20	170.78	155.30	0.61	0.68	0.75	0.68	253.14	476.88	4386.05	6947.43	-0.15	2352.54	1	203	-1.69	0	32	47	46	47	47	46	46						4386.05						6947.43															22/11/2016
BUCURESTI	4	Other	A01	MUST WIN	0	0	1	0	DANIEL GAVRILA PODINA	OCTAGON GROUP SRL	OCTAGON MALL BANEASA	E			38183.04	1	4046	127.92	105.80	1575.10	1550.70	8.00	7.05	6.91	6.83	3541.06	5126.13	43256.52	73254.64	0.19	11092.82	1	1757	-1.69	0	56	95	95	92	92	95	92						43256.52						73254.64															22/11/2016
BUCURESTI	5	Other	A01	MUST WIN	0	0	1	0	DANIEL GAVRILA PODINA	OCTAGON GROUP SRL	OCTAGON GROUP METRO BANEASA	E			12817.11	1	1176	43.12	36.40	605.52	592.00	2.70	2.43	2.66	2.61	1142.68	1686.30	15925.44	26973.49	0.38	3276.18	1	579	-1.69	0	56	100	99	96	95	100	98						15925.44						26973.49															22/11/2016
BUCURESTI	5	Other	A05	MUST WIN	0	0	1	0	DANIEL GAVRILA PODINA	OCTAGON GROUP SRL	OCTAGON GROUP GARA DE NORD	E				1	1760																1072		0	24	51	0	43	1																													22/11/2016
BUCURESTI	5	Other	A05	MUST WIN	0	0	1	0	DANIEL GAVRILA PODINA	OCTAGON GROUP SRL	OCTAGON GROUP POLI SPLAI	E				1	1086																611		0	24	45	0	44	0																													22/11/2016
BUCURESTI	5	Other	A05	MUST WIN	0	0	1	0	DANIEL GAVRILA PODINA	OCTAGON GROUP SRL	OCTAGON GROUP REGIE P1	E				1	1125																611		0	24	45	0	45	0																													22/11/2016
BUCURESTI	5	Other	A07	MUST WIN	0	0	1	0	DANIEL GAVRILA PODINA	OCTAGON GROUP SRL	OCTAGON GROUP METRO BERCENI	E			13328.70	1	1037	41.40	24.20	513.18	469.50	2.59	1.61	2.25	2.07	1061.56	1107.07	13000.37	20963.39	0.33	2244.37	1	647	-1.69	0	56	91	91	92	91	91	91						13000.37						20963.39															22/11/2016
BUCURESTI	5	Other	A09	MUST WIN	0	0	1	0	DANIEL GAVRILA PODINA	OCTAGON GROUP SRL	OCTAGON GROUP METRO VOLUNTARI	E			14707.94	1	1493	41.50	59.20	793.48	937.40	2.59	3.95	3.48	4.13	1235.59	2716.84	20315.94	42048.05	-0.07	4206.08	229	1095	-1.69	0	48	100	92	92	92	92	92						20315.94						42048.05															22/11/2016
BUCURESTI	5	Other	A10	MUST WIN	0	0	1	0	DANIEL GAVRILA PODINA	OCTAGON GROUP SRL	OCTAGON GROUP RODIPET	E				1	1270																653		0	24	43	0	49	0																													22/11/2016
BUCURESTI	6	Other	A05	MUST WIN	0	0	1	0	DANIEL GAVRILA PODINA	OCTAGON GROUP SRL	OCTAGON GROUP CARREFOUR MILITARI	E				1	874		18.90	168.94	391.14		1.26	0.74	1.72								560				50	50	91	89	52	90																											22/11/2016
BUCURESTI	6	Other	A05	MUST WIN	0	0	1	0	DANIEL GAVRILA PODINA	OCTAGON GROUP SRL	OCTAGON GROUP METRO MILITARI	E			13768.42	1	904	52.10	35.40	681.28	552.30	3.26	2.36	2.99	2.43	1355.03	1627.82	17262.55	24510.98	0.17	2191.73	253	591	-1.69	0	56	91	91	92	92	92	92						17262.55						24510.98															22/11/2016
BUCURESTI	6	Other	A08	MUST WIN	0	0	1	0	DANIEL GAVRILA PODINA	OCTAGON GROUP SRL	OCTAGON GROUP METRO THEODOR PALLADY	E			12805.43	1	965	32.00		392.32	336.10	2.00		1.72	1.48	924.21		10015.43	15183.17	0.26	4671.79	2	673	-1.69	0	48	95	90	89	84	91	83						10015.43						15183.17															22/11/2016
BUCURESTI	6	Other	A10	MUST WIN	0	0	1	0	DANIEL GAVRILA PODINA	OCTAGON GROUP SRL	OCTAGON GROUP COFETARIE	E				1	966																492		0	24	43	0	42	0																													22/11/2016
BUCURESTI	6	Other	A10	MUST WIN	0	0	1	0	DANIEL GAVRILA PODINA	OCTAGON GROUP SRL	OCTAGON GROUP DAMBOVITA	E				1	596																352		0	24	43	0	44	0																													22/11/2016
BUCURESTI	6	Other	A10	MUST WIN	0	0	1	0	DANIEL GAVRILA PODINA	OCTAGON GROUP SRL	OCTAGON GROUP PARCARE	E				1	907																460		0	24	43	0	38	0																													22/11/2016
BUCURESTI	7	Other	A05	MUST WIN	0	0	1	0	DANIEL GAVRILA PODINA	OCTAGON GROUP SRL	OCTAGON GROUP REGIE MAX	E				1	411																225				8	0	41	0																													22/11/2016
BUCURESTI	7	Other	A06	MUST WIN	0	0	1	0	DANIEL GAVRILA PODINA	OCTAGON GROUP SRL	OCTAGON GROUP POLI MANIU	E				1	312																209		0	24	41	0	34	0																													22/11/2016
CAMPULUNG MOLDOVENESC	6	Bat	A24	MUST WIN	1	0	0	0	DANIEL GAVRILA PODINA	UNICARM SRL	UNICARM CAMPULUNG MOLDOVENESC CALEA BUCOVINEI G44	E			16260.22	1	685	28.20	24.52	383.90	437.18	1.76	1.63	1.68	1.93	725.31	1161.60	9898.36	19815.96	0.45	4586.17	1	455	-0.03	0	56	91	86	88	83	88	87						9898.36						19815.96															22/11/2016
CAREI	5	Bat	A34	MUST WIN	1	0	0	0	DANIEL GAVRILA PODINA	UNICARM SRL	UNICARM CAREI MIHAI VITEAZUL G15	E			37000.69	1	1337	50.60	38.86	712.48	842.58	3.16	2.59	3.12	3.71	1494.22	1766.52	17731.18	36693.17	0.24	15951.04	2	1008	-0.03	0	48	99	91	93	86	88	87						17731.18						36693.17															22/11/2016
CAREI	6	Bat	A34	MUST WIN	1	0	0	0	DANIEL GAVRILA PODINA	UNICARM SRL	UNICARM CAREI 1 DECEMBRIE 1918 G5	E			18856.06	1	748	29.60	30.66	494.54	530.30	1.85	2.04	2.17	2.34	900.23	1416.36	12660.67	23826.20	0.15	3152.32	2	501	-0.03	0	48	95	89	94	89	89	91						12660.67						23826.20															22/11/2016
CAVNIC	6	Bat	A33	GROW	1	0	0	0	DANIEL GAVRILA PODINA	ZOVI MAXIM SRL	ZOVI 2 CAVNIC 	P	1	1		1	605	10.88		83.40		0.68		0.37		728.26		3835.82		0.11			283	-3.24	0	24	20	20	1	0	20		0.00	1731.83	0.00	0.00	0.00	2103.99																					22/11/2016
CAVNIC	6	Bat	A33	IKA	0	0	0	0	DANIEL GAVRILA PODINA	PROFI ROM FOOD SRL	PROFI 2345 CAVNIC 22 DECEMBRIE	P	1	1	0.00	1	728	15.52	10.84	240.30	66.64	0.97	0.72	1.05	0.29								416	2.10	0	24	47	46	11	9	52	15													100	0	1	0	0	0	0								22/11/2016
CEHU SILVANIEI	5	Bat	A34	MUST WIN	1	0	0	0	DANIEL GAVRILA PODINA	UNICARM SRL	UNICARM CEHU SILVANIEI STR. TRANDAFIRILOR 34 G25	E			12367.16	1	1009	37.80	46.40	658.36	610.04	2.36	3.09	2.89	2.69	961.86	2147.77	16609.71	27082.64	0.20			697	-0.03	0	24	43	41	46	46	42	47						16609.71						27082.64															22/11/2016
CHISINEU-CRIS	6	Bat	A46	MUST WIN	1	0	0	0	DANIEL GAVRILA PODINA	UNICARM SRL	UNICARM CHISINEU CRIS G78	E			7018.02	1	676	15.40	15.06	206.62	254.14	0.96	1.00	0.91	1.12	395.61	707.54	5351.03	11536.67	-0.16			322	-0.03	0	24	46	41	48	40	42	43						5351.03						11536.67															22/11/2016
CLUJ-NAPOCA	5	Bat	A29	MUST WIN	1	0	0	0	DANIEL GAVRILA PODINA	UNICARM SRL	UNICARM G45 CLUJ5 TITULESCU	E			21104.25	1	1030	39.80	32.00	486.92	526.42	2.49	2.13	2.14	2.32	1029.09	1460.27	12479.69	23454.93	0.49	2282.03	1	634	-0.03	0	56	91	88	87	84	92	88						12479.69						23454.93															22/11/2016
CLUJ-NAPOCA	5	Bat	A30	MUST WIN	1	0	0	0	DANIEL GAVRILA PODINA	UNICARM SRL	UNICARM G33 CLUJ3 IASILOR	E			19126.18	1	1020	33.60	40.86	467.68	442.66	2.10	2.72	2.05	1.95	839.65	1856.20	11690.41	19553.80	0.49	2790.72	1	666	-0.03	0	56	91	86	89	84	90	90						11690.41						19553.80															22/11/2016
CLUJ-NAPOCA	5	Bat	A30	MUST WIN	1	0	0	0	DANIEL GAVRILA PODINA	UNICARM SRL	UNICARM G34 CLUJ4 FANTANELE	E			23511.12	1	1389	42.60	39.20	546.30	531.36	2.66	2.61	2.40	2.34	1077.69	1797.16	13846.43	23529.73	0.28	5425.08	1	801	-0.03	0	56	87	85	90	87	88	89						13846.43						23529.73															22/11/2016
CLUJ-NAPOCA	5	Bat	A30	MUST WIN	1	0	0	0	DANIEL GAVRILA PODINA	UNICARM SRL	UNICARM G57 CLUJ6 AUREL VLAICU	E			28365.64	1	1224	49.40	36.56	509.70	469.66	3.09	2.44	2.24	2.07	1257.43	1668.63	12803.99	20904.50	0.39	4656.75	1	666	-0.03	0	56	92	87	91	84	89	88						12803.99						20904.50															22/11/2016
CLUJ-NAPOCA	5	Other	A29	MUST WIN	0	0	1	0	DANIEL GAVRILA PODINA	OCTAGON GROUP SRL	OCTAGON GROUP CLUJ	E			17323.15	1	1436	35.30	26.60	479.62	572.40	2.21	1.77	2.10	2.52	1162.52	1212.19	12290.61	24877.91	0.18	8669.51	219	655	-1.69	0	24	54	51	46	45	51	47						12290.61						24877.91															22/11/2016
CLUJ-NAPOCA	6	Bat	A29	MUST WIN	1	0	0	0	DANIEL GAVRILA PODINA	UNICARM SRL	UNICARM G31 CLUJ 1 PRIMAVERII 	E			16407.44	1	507	28.80	32.44	380.12	470.04	1.80	2.16	1.67	2.07	713.34	1463.96	9346.95	20468.86	0.21	2673.86	1	281	-0.03	0	48	89	85	90	87	86	91						9346.95						20468.86															22/11/2016
CLUJ-NAPOCA	6	Bat	A29	MUST WIN	1	0	0	0	DANIEL GAVRILA PODINA	UNICARM SRL	UNICARM G32  CLUJ 2 C. FLORESTI 	E			11250.64	1	627	20.80	29.12	270.78	370.34	1.30	1.94	1.19	1.63	524.10	1328.89	6780.60	16329.55	0.21	1169.24	1	369	-0.03	0	56	96	88	94	89	89	91						6780.60						16329.55															22/11/2016
CONSTANTA	6	Other	A11	MUST WIN	0	0	1	0	DANIEL GAVRILA PODINA	OCTAGON GROUP SRL	OCTAGON 1 METRO 1 CONSTANTA	E			5290.41	1	814	27.80	25.90	458.98	441.70	1.74	1.73	2.01	1.95	734.01	1200.23	11900.64	20061.76	0.05			511	-1.69	0	24	56	53	47	47	49	47						11900.64						20061.76															22/11/2016
CRAIOVA	7	Other	A40	MUST WIN	0	0	1	0	DANIEL GAVRILA PODINA	OCTAGON GROUP SRL	OCTAGON METRO CRAIOVA	E			2791.42	1	334	16.20	18.00	248.48	253.80	1.01	1.20	1.09	1.12	418.90	838.19	6403.08	11391.66	-0.04			255	-1.69	0	24	46	46	45	45	46	45						6403.08						11391.66															22/11/2016
DEJ	5	Bat	A30	MUST WIN	1	0	0	0	DANIEL GAVRILA PODINA	UNICARM SRL	UNICARM DEJ DOBROGEANU GHEREA G30	E			16474.26	1	1010	28.80	25.84	429.42	464.08	1.80	1.72	1.88	2.04	817.25	1164.54	10700.34	20442.31	0.15	2095.64	2	629	-0.03	0	48	90	82	92	87	84	90						10700.34						20442.31															22/11/2016
DEVA	5	Bat	A48	MUST WIN	1	0	0	0	DANIEL GAVRILA PODINA	UNICARM SRL	UNICARM DEVA DACIA G53	E			38646.57	1	1168	65.80	62.82	925.60	850.56	4.11	4.19	4.06	3.75	1608.70	2758.10	22311.87	36539.27	0.03	7025.64	1	838	-0.03	0	48	96	87	93	80	85	84						22311.87						36539.27															22/11/2016
DEVA	5	Bat	A48	MUST WIN	1	0	0	0	DANIEL GAVRILA PODINA	UNICARM SRL	UNICARM DEVA KOGALNICEANU G56	E			27686.62	1	1080	47.00	43.78	664.00	675.76	2.94	2.92	2.91	2.98	1169.20	1979.02	16336.25	29702.52	0.25	1952.41	1	785	-0.03	0	56	95	87	96	74	85	76						16336.25						29702.52															22/11/2016
DEVA	6	Bat	A48	MUST WIN	1	0	0	0	DANIEL GAVRILA PODINA	UNICARM SRL	UNICARM DEVA BEJAN G54	E			22183.62	1	819	32.00	32.26	473.16	462.94	2.00	2.15	2.08	2.04	761.36	1415.36	11233.86	19669.26	3.21	6514.81	1	569	-0.03	0	48	95	82	93	82	82	85						11233.86						19669.26															22/11/2016
DEVA	6	Bat	A48	MUST WIN	1	0	0	0	DANIEL GAVRILA PODINA	UNICARM SRL	UNICARM DEVA HORIA G55	E			15069.28	1	851	22.60	38.40	422.60	320.06	1.41	2.56	1.85	1.41	549.41	1724.77	10378.17	14063.01	-0.27	2067.77	1	588	-0.03	0	56	95	74	94	51	72	55						10378.17						14063.01															22/11/2016
FAGET	6	Bat	A49	MUST WIN	1	0	0	0	DANIEL GAVRILA PODINA	UNICARM SRL	UNICARM FAGET LUGOJULUI G92	E			7817.46	1	675	15.80	19.80	276.32	306.12	0.99	1.32	1.21	1.35	381.61	884.43	6825.74	13352.90	-0.17	0.07	301	391	-0.03	0	24	45	42	47	45	44	47						6825.74						13352.90															22/11/2016
FALTICENI	6	Bat	A24	MUST WIN	1	0	0	0	DANIEL GAVRILA PODINA	UNICARM SRL	UNICARM FALTICENI 2 GRANICERI G85	E			4238.26	1	598	8.40	14.70	210.70	222.62	0.53	0.98	0.92	0.98	251.02	703.88	5414.69	10159.31	-0.49	912.75	2	328	-0.03	0	48	88	76	61	57	78	61						5414.69						10159.31															22/11/2016
FLORESTI-CLUJ	5	Bat	A29	MUST WIN	1	0	0	0	DANIEL GAVRILA PODINA	UNICARM SRL	UNICARM G95 FLORESTI-CLUJ	E			30410.01	1	1170	47.80	27.40	537.78	540.84	2.99	1.83	2.36	2.38	1200.43	1238.33	13482.47	23853.27	0.04	8672.96	1	619	-0.03	0	56	91	83	84	83	84	86						13482.47						23853.27															22/11/2016
GHERLA	5	Bat	A30	MUST WIN	1	0	0	0	DANIEL GAVRILA PODINA	UNICARM SRL	UNICARM GHERLA 1 DECEMBRIE 1918 G28 	E			32609.87	1	1721	56.20	29.34	666.92	648.70	3.51	1.96	2.93	2.86	1365.89	1302.06	16245.31	28053.61	0.61	7874.57	432	967	-0.03	0	56	93	86	87	67	88	68						16245.31						28053.61															22/11/2016
GURA HUMORULUI	6	Bat	A24	MUST WIN	1	0	0	0	DANIEL GAVRILA PODINA	UNICARM SRL	UNICARM GURA HUMORULUI REVOLUTIEI G46	E			8299.27	1	735	12.60	14.22	210.86	226.20	0.79	0.95	0.92	1.00	333.98	680.54	5596.80	10397.72	0.19	2141.07	1	420	-0.03	0	32	65	45	61	45	47	48						5596.80						10397.72															22/11/2016
HALMEU	7	Bat	A34	MUST WIN	1	0	0	0	DANIEL GAVRILA PODINA	UNICARM SRL	UNICARM HALMEU G97	E			2317.49	1	216	4.44	7.32	97.84	55.14	0.28	0.49	0.43	0.24	115.92	349.46	2575.65	2517.74	-0.15			124	-0.03	0	24	46	42	22	20	43	23						2575.65						2517.74															22/11/2016
INEU-ARAD	6	Bat	A46	MUST WIN	1	0	0	0	DANIEL GAVRILA PODINA	UNICARM SRL	UNICARM INEU G 80	E			3186.24	1	539	9.20	12.72	192.74	221.20	0.58	0.85	0.85	0.97	235.73	588.37	4921.74	9974.23	0.64			346	-0.03	0	32	47	40	59	42	40	45						4921.74						9974.23															22/11/2016
JIBOU	5	Bat	A34	MUST WIN	1	0	0	0	DANIEL GAVRILA PODINA	UNICARM SRL	UNICARM JIBOU STR. 1 MAI G26	E			18028.51	1	1035	32.00	26.68	472.04	422.36	2.00	1.78	2.07	1.86	812.15	1220.30	11982.72	18828.15	-0.09			593	-0.03	0	24	46	44	45	44	45	46						11982.72						18828.15															22/11/2016
LUGOJ	6	Bat	A49	MUST WIN	1	0	0	0	DANIEL GAVRILA PODINA	UNICARM SRL	UNICARM LUGOJ TIMISOAREI G65	E			11540.39	1	646	18.20	25.52	441.16	395.86	1.14	1.70	1.93	1.74	662.02	1163.08	11056.58	17623.16	-0.32	1485.46	2	438	-0.03	0	48	92	87	88	86	87	89						11056.58						17623.16															22/11/2016
LUGOJ	7	Bat	A49	MUST WIN	1	0	0	0	DANIEL GAVRILA PODINA	UNICARM SRL	UNICARM LUGOJ PRIMAVERII G66	E			26354.93	1	484	40.00	22.42	460.34	256.88	2.50	1.49	2.02	1.13	1118.46	1033.86	11574.56	11429.49	0.32	5421.40	2	353	-0.03	0	48	91	87	88	82	86	85						11574.56						11429.49															22/11/2016
MARGHITA	6	Bat	A45	MUST WIN	1	0	0	0	DANIEL GAVRILA PODINA	UNICARM SRL	UNICARM MARGHITA REPUBLICII G27	E			23190.12	1	869	44.20	31.00	523.54	501.96	2.76	2.07	2.30	2.21	1124.62	1427.10	13211.34	22390.32	0.28	5118.69	1	619	-0.03	0	48	88	86	89	84	90	89						13211.34						22390.32															22/11/2016
MIROSLAVA	6	Other	A26	MUST WIN	0	0	1	0	DANIEL GAVRILA PODINA	OCTAGON GROUP SRL	OCTAGON METRO IASI	E			4974.79	1	790	13.28	9.80	141.10	242.64	0.83	0.65	0.62	1.07	357.26	466.63	3755.67	11185.86	0.39	2938.79	15	406	-1.69	0	24	34	33	47	46	34	46						3755.67						11185.86															22/11/2016
MOISEI	5	Bat	A33	MUST WIN	1	0	0	0	DANIEL GAVRILA PODINA	LUNCA-G.I. SRL	NON STOP	P	1	1	2729.55	1	1053	20.50	26.78	449.62	413.34	1.28	1.79	1.97	1.82	525.68	1268.94	12239.03	19703.02	-0.14			681	2.29	0	24	46	46	46	46	48	49	0.00	0.00	0.00	24.00	676.92	11538.11	0.00	0.00	0.00	0.00	1083.76	18619.26															22/11/2016
MOISEI	6	Bat	A33	PROTECT	1	0	0	0	DANIEL GAVRILA PODINA	JEEVES PROD CO SRL	JEEVES ABC	P	1	1		1	502	17.10	10.24	401.22	410.00	1.07	0.68	1.76	1.81	452.15	698.13	11376.06	20681.62	-0.33			368	1.91	0	24	46	38	45	41	38	49	0.00	0.00	0.00	0.00	935.40	10440.66	0.00	0.00	0.00	0.00	2347.43	18334.19															22/11/2016
